latitude,longitude,littoral_gradient_m,mach_m
-89.5,-179.5,20.890226102828123,0.137409
-89.5,-178.5,20.89058050642242,0.137409
-89.5,-177.5,20.890933444744263,0.137409
-89.5,-176.5,20.891284810285214,0.136822
-89.5,-175.5,20.891634496015932,0.136822
-89.5,-174.5,20.89198239541875,0.136822
-89.5,-173.5,20.892328402520143,0.136822
-89.5,-172.5,20.892672411922995,0.136625
-89.5,-171.5,20.89301431883871,0.136625
-89.5,-170.5,20.89335401911913,0.136625
-89.5,-169.5,20.89369140928826,0.136625
-89.5,-168.5,20.894026386573778,0.136625
-89.5,-167.5,20.894358848938367,0.13353
-89.5,-166.5,20.89468869511077,0.13353
-89.5,-165.5,20.895015824616642,0.13353
-89.5,-164.5,20.895340137809168,0.13353
-89.5,-163.5,20.89566153589941,0.13353
-89.5,-162.5,20.8959799209864,0.13353
-89.5,-161.5,20.896295196086946,0.133013
-89.5,-160.5,20.896607265165205,0.133013
-89.5,-159.5,20.89691603316191,0.133013
-89.5,-158.5,20.89722140602334,0.133013
-89.5,-157.5,20.897523290729964,0.133013
-89.5,-156.5,20.897821595324775,0.134869
-89.5,-155.5,20.898116228941305,0.134869
-89.5,-154.5,20.898407101831296,0.134869
-89.5,-153.5,20.89869412539205,0.134869
-89.5,-152.5,20.89897721219341,0.134869
-89.5,-151.5,20.899256276004397,0.132716
-89.5,-150.5,20.89953123181947,0.132716
-89.5,-149.5,20.89980199588442,0.132716
-89.5,-148.5,20.900068485721892,0.132716
-89.5,-147.5,20.9003306201565,0.132716
-89.5,-146.5,20.90058831933956,0.133665
-89.5,-145.5,20.900841504773393,0.133665
-89.5,-144.5,20.901090099335278,0.133665
-89.5,-143.5,20.90133402730089,0.133665
-89.5,-142.5,20.901573214367417,0.133665
-89.5,-141.5,20.90180758767616,0.132082
-89.5,-140.5,20.902037075834734,0.132082
-89.5,-139.5,20.90226160893883,0.132082
-89.5,-138.5,20.90248111859348,0.132082
-89.5,-137.5,20.902695537933923,0.132082
-89.5,-136.5,20.902904801645953,0.133269
-89.5,-135.5,20.90310884598581,0.133269
-89.5,-134.5,20.903307608799615,0.133269
-89.5,-133.5,20.903501029542287,0.133269
-89.5,-132.5,20.903689049296,0.132331
-89.5,-131.5,20.90387161078811,0.132331
-89.5,-130.5,20.904048658408616,0.132331
-89.5,-129.5,20.904220138227103,0.132331
-89.5,-128.5,20.904385998009154,0.132331
-89.5,-127.5,20.904546187232278,0.131929
-89.5,-126.5,20.90470065710128,0.131929
-89.5,-125.5,20.90484936056314,0.131929
-89.5,-124.5,20.90499225232135,0.131929
-89.5,-123.5,20.905129288849693,0.131929
-89.5,-122.5,20.905260428405512,0.132024
-89.5,-121.5,20.90538563104243,0.132024
-89.5,-120.5,20.905504858622514,0.132024
-89.5,-119.5,20.905618074827885,0.132024
-89.5,-118.5,20.905725245171787,0.132024
-89.5,-117.5,20.905826337009103,0.132024
-89.5,-116.5,20.905921319546273,0.131266
-89.5,-115.5,20.9060101638507,0.131266
-89.5,-114.5,20.906092842859547,0.131266
-89.5,-113.5,20.906169331387986,0.131266
-89.5,-112.5,20.90623960613687,0.130488
-89.5,-111.5,20.906303645699833,0.130488
-89.5,-110.5,20.906361430569802,0.130488
-89.5,-109.5,20.906412943144943,0.130488
-89.5,-108.5,20.906458167734034,0.130488
-89.5,-107.5,20.906497090561217,0.130488
-89.5,-106.5,20.90652969977023,0.132457
-89.5,-105.5,20.906555985427985,0.132457
-89.5,-104.5,20.906575939527624,0.132457
-89.5,-103.5,20.90658955599093,0.132457
-89.5,-102.5,20.906596830670196,0.132457
-89.5,-101.5,20.906597761349488,0.133836
-89.5,-100.5,20.90659234774531,0.133836
-89.5,-99.5,20.906580591506696,0.133836
-89.5,-98.5,20.90656249621471,0.133836
-89.5,-97.5,20.90653806738136,0.13521
-89.5,-96.5,20.906507312447896,0.13521
-89.5,-95.5,20.90647024078258,0.13521
-89.5,-94.5,20.906426863677787,0.13521
-89.5,-93.5,20.90637719434661,0.13521
-89.5,-92.5,20.90632124791881,0.13521
-89.5,-91.5,20.90625904143621,0.133821
-89.5,-90.5,20.90619059384751,0.133821
-89.5,-89.5,20.9061159260025,0.133821
-89.5,-88.5,20.906035060645735,0.133821
-89.5,-87.5,20.905948022409582,0.134544
-89.5,-86.5,20.90585483780674,0.134544
-89.5,-85.5,20.90575553522213,0.134544
-89.5,-84.5,20.90565014490429,0.134544
-89.5,-83.5,20.90553869895613,0.134544
-89.5,-82.5,20.90542123132516,0.134544
-89.5,-81.5,20.905297777793166,0.137572
-89.5,-80.5,20.90516837596528,0.137572
-89.5,-79.5,20.905033065258568,0.137572
-89.5,-78.5,20.904891886889967,0.137572
-89.5,-77.5,20.90474488386378,0.139695
-89.5,-76.5,20.904592100958556,0.139695
-89.5,-75.5,20.904433584713445,0.139695
-89.5,-74.5,20.904269383414032,0.139695
-89.5,-73.5,20.904099547077625,0.139695
-89.5,-72.5,20.903924127438014,0.139695
-89.5,-71.5,20.903743177929723,0.136798
-89.5,-70.5,20.903556753671722,0.136798
-89.5,-69.5,20.90336491145065,0.136798
-89.5,-68.5,20.903167709703503,0.136798
-89.5,-67.5,20.902965208499847,0.136798
-89.5,-66.5,20.902757469523507,0.136561
-89.5,-65.5,20.902544556053787,0.136561
-89.5,-64.5,20.902326532946194,0.136561
-89.5,-63.5,20.90210346661268,0.136561
-89.5,-62.5,20.90187542500141,0.136561
-89.5,-61.5,20.901642477576065,0.136254
-89.5,-60.5,20.901404695294694,0.136254
-89.5,-59.5,20.901162150588075,0.136254
-89.5,-58.5,20.900914917337683,0.136254
-89.5,-57.5,20.900663070853156,0.136254
-89.5,-56.5,20.900406687849372,0.136137
-89.5,-55.5,20.900145846423083,0.136137
-89.5,-54.5,20.899880626029113,0.136137
-89.5,-53.5,20.89961110745616,0.136137
-89.5,-52.5,20.899337372802194,0.136137
-89.5,-51.5,20.89905950544944,0.135545
-89.5,-50.5,20.89877759003899,0.135545
-89.5,-49.5,20.898491712445004,0.135545
-89.5,-48.5,20.89820195974857,0.135545
-89.5,-47.5,20.897908420211166,0.135545
-89.5,-46.5,20.897611183247776,0.137072
-89.5,-45.5,20.897310339399663,0.137072
-89.5,-44.5,20.897005980306773,0.137072
-89.5,-43.5,20.896698198679836,0.137072
-89.5,-42.5,20.896387088272117,0.137072
-89.5,-41.5,20.89607274385086,0.136713
-89.5,-40.5,20.89575526116842,0.136713
-89.5,-39.5,20.8954347369331,0.136713
-89.5,-38.5,20.895111268779686,0.136713
-89.5,-37.5,20.89478495523971,0.136713
-89.5,-36.5,20.894455895711438,0.136128
-89.5,-35.5,20.89412419042959,0.136128
-89.5,-34.5,20.893789940434807,0.136128
-89.5,-33.5,20.893453247542876,0.136128
-89.5,-32.5,20.893114214313716,0.139365
-89.5,-31.5,20.89277294402013,0.139365
-89.5,-30.5,20.892429540616355,0.139365
-89.5,-29.5,20.892084108706396,0.139365
-89.5,-28.5,20.89173675351216,0.139365
-89.5,-27.5,20.8913875808414,0.139365
-89.5,-26.5,20.891036697055497,0.139032
-89.5,-25.5,20.890684209037055,0.139032
-89.5,-24.5,20.89033022415733,0.139032
-89.5,-23.5,20.889974850243554,0.139032
-89.5,-22.5,20.88961819554606,0.139032
-89.5,-21.5,20.889260368705322,0.140418
-89.5,-20.5,20.888901478718864,0.140418
-89.5,-19.5,20.888541634908055,0.140418
-89.5,-18.5,20.888180946884802,0.140418
-89.5,-17.5,20.88781952451817,0.140418
-89.5,-16.5,20.88745747790092,0.142606
-89.5,-15.5,20.887094917315952,0.142606
-89.5,-14.5,20.886731953202734,0.142606
-89.5,-13.5,20.886368696123654,0.142606
-89.5,-12.5,20.886005256730332,0.142606
-89.5,-11.5,20.88564174572993,0.140162
-89.5,-10.5,20.885278273851423,0.140162
-89.5,-9.5,20.884914951811865,0.140162
-89.5,-8.5,20.884551890282665,0.140162
-89.5,-7.5,20.884189199855886,0.140162
-89.5,-6.5,20.883826991010544,0.139628
-89.5,-5.5,20.883465374078963,0.139628
-89.5,-4.5,20.88310445921316,0.139628
-89.5,-3.5,20.882744356351306,0.139628
-89.5,-2.5,20.882385175184215,0.139628
-89.5,-1.5,20.882027025121953,0.138677
-89.5,-0.5,20.881670015260497,0.138677
-89.5,0.5,20.88131425434851,0.138677
-89.5,1.5,20.880959850754213,0.138677
-89.5,2.5,20.88060691243237,0.138677
-89.5,3.5,20.88025554689142,0.139003
-89.5,4.5,20.8799058611607,0.139003
-89.5,5.5,20.879557961757882,0.139003
-89.5,6.5,20.87921195465649,0.139003
-89.5,7.5,20.87886794525364,0.140047
-89.5,8.5,20.878526038337924,0.140047
-89.5,9.5,20.878186338057503,0.140047
-89.5,10.5,20.877848947888374,0.140047
-89.5,11.5,20.877513970602855,0.140047
-89.5,12.5,20.877181508238262,0.138849
-89.5,13.5,20.876851662065864,0.138849
-89.5,14.5,20.87652453255999,0.138849
-89.5,15.5,20.876200219367465,0.138849
-89.5,16.5,20.875878821277222,0.138849
-89.5,17.5,20.875560436190234,0.138849
-89.5,18.5,20.875245161089687,0.13821
-89.5,19.5,20.874933092011428,0.13821
-89.5,20.5,20.87462432401472,0.13821
-89.5,21.5,20.874318951153292,0.13821
-89.5,22.5,20.87401706644667,0.137283
-89.5,23.5,20.87371876185186,0.137283
-89.5,24.5,20.873424128235328,0.137283
-89.5,25.5,20.873133255345337,0.137283
-89.5,26.5,20.87284623178458,0.137283
-89.5,27.5,20.87256314498322,0.137283
-89.5,28.5,20.872284081172236,0.137577
-89.5,29.5,20.872009125357163,0.137577
-89.5,30.5,20.871738361292213,0.137577
-89.5,31.5,20.87147187145474,0.137577
-89.5,32.5,20.871209737020134,0.137577
-89.5,33.5,20.870952037837075,0.137772
-89.5,34.5,20.87069885240324,0.137772
-89.5,35.5,20.870450257841355,0.137772
-89.5,36.5,20.870206329875742,0.137772
-89.5,37.5,20.869967142809216,0.137772
-89.5,38.5,20.869732769500473,0.138226
-89.5,39.5,20.8695032813419,0.138226
-89.5,40.5,20.869278748237804,0.138226
-89.5,41.5,20.86905923858315,0.138226
-89.5,42.5,20.86884481924271,0.138226
-89.5,43.5,20.86863555553068,0.139314
-89.5,44.5,20.868431511190824,0.139314
-89.5,45.5,20.868232748377018,0.139314
-89.5,46.5,20.868039327634346,0.139314
-89.5,47.5,20.867851307880635,0.139314
-89.5,48.5,20.867668746388524,0.139428
-89.5,49.5,20.867491698768017,0.139428
-89.5,50.5,20.86732021894953,0.139428
-89.5,51.5,20.86715435916748,0.139428
-89.5,52.5,20.866994169944356,0.139428
-89.5,53.5,20.866839700075353,0.13859
-89.5,54.5,20.866690996613492,0.13859
-89.5,55.5,20.866548104855283,0.13859
-89.5,56.5,20.86641106832694,0.13859
-89.5,57.5,20.86627992877112,0.137281
-89.5,58.5,20.8661547261342,0.137281
-89.5,59.5,20.86603549855412,0.137281
-89.5,60.5,20.86592228234875,0.137281
-89.5,61.5,20.865815112004846,0.137281
-89.5,62.5,20.86571402016753,0.137281
-89.5,63.5,20.86561903763036,0.13924
-89.5,64.5,20.865530193325935,0.13924
-89.5,65.5,20.865447514317086,0.13924
-89.5,66.5,20.865371025788647,0.13924
-89.5,67.5,20.86530075103976,0.13924
-89.5,68.5,20.8652367114768,0.140769
-89.5,69.5,20.86517892660683,0.140769
-89.5,70.5,20.86512741403169,0.140769
-89.5,71.5,20.8650821894426,0.140769
-89.5,72.5,20.865043266615416,0.140769
-89.5,73.5,20.865010657406405,0.138519
-89.5,74.5,20.864984371748648,0.138519
-89.5,75.5,20.86496441764901,0.138519
-89.5,76.5,20.864950801185703,0.138519
-89.5,77.5,20.864943526506437,0.138519
-89.5,78.5,20.864942595827145,0.139484
-89.5,79.5,20.864948009431323,0.139484
-89.5,80.5,20.864959765669937,0.139484
-89.5,81.5,20.864977860961922,0.139484
-89.5,82.5,20.865002289795274,0.141078
-89.5,83.5,20.865033044728737,0.141078
-89.5,84.5,20.865070116394055,0.141078
-89.5,85.5,20.865113493498846,0.141078
-89.5,86.5,20.865163162830022,0.141078
-89.5,87.5,20.865219109257822,0.141078
-89.5,88.5,20.86528131574042,0.140663
-89.5,89.5,20.865349763329124,0.140663
-89.5,90.5,20.865424431174134,0.140663
-89.5,91.5,20.8655052965309,0.140663
-89.5,92.5,20.86559233476705,0.142908
-89.5,93.5,20.865685519369894,0.142908
-89.5,94.5,20.865784821954502,0.142908
-89.5,95.5,20.865890212272344,0.142908
-89.5,96.5,20.866001658220505,0.142908
-89.5,97.5,20.866119125851473,0.142908
-89.5,98.5,20.866242579383467,0.145005
-89.5,99.5,20.86637198121135,0.145005
-89.5,100.5,20.866507291918065,0.145005
-89.5,101.5,20.866648470286666,0.145005
-89.5,102.5,20.866795473312852,0.143597
-89.5,103.5,20.866948256218077,0.143597
-89.5,104.5,20.86710677246319,0.143597
-89.5,105.5,20.8672709737626,0.143597
-89.5,106.5,20.86744081009901,0.143597
-89.5,107.5,20.86761622973862,0.143597
-89.5,108.5,20.86779717924691,0.144135
-89.5,109.5,20.86798360350491,0.144135
-89.5,110.5,20.86817544572598,0.144135
-89.5,111.5,20.86837264747313,0.144135
-89.5,112.5,20.868575148676786,0.144135
-89.5,113.5,20.868782887653126,0.143062
-89.5,114.5,20.868995801122846,0.143062
-89.5,115.5,20.86921382423044,0.143062
-89.5,116.5,20.869436890563954,0.143062
-89.5,117.5,20.869664932175223,0.143062
-89.5,118.5,20.86989787960057,0.142994
-89.5,119.5,20.87013566188194,0.142994
-89.5,120.5,20.87037820658856,0.142994
-89.5,121.5,20.87062543983895,0.142994
-89.5,122.5,20.870877286323477,0.142994
-89.5,123.5,20.87113366932726,0.144781
-89.5,124.5,20.87139451075355,0.144781
-89.5,125.5,20.87165973114752,0.144781
-89.5,126.5,20.871929249720473,0.144781
-89.5,127.5,20.87220298437444,0.144781
-89.5,128.5,20.872480851727193,0.144722
-89.5,129.5,20.872762767137644,0.144722
-89.5,130.5,20.87304864473163,0.144722
-89.5,131.5,20.873338397428064,0.144722
-89.5,132.5,20.873631936965467,0.144722
-89.5,133.5,20.873929173928857,0.145746
-89.5,134.5,20.87423001777697,0.145746
-89.5,135.5,20.87453437686986,0.145746
-89.5,136.5,20.874842158496797,0.145746
-89.5,137.5,20.875153268904516,0.145746
-89.5,138.5,20.875467613325775,0.144736
-89.5,139.5,20.87578509600821,0.144736
-89.5,140.5,20.876105620243532,0.144736
-89.5,141.5,20.876429088396947,0.144736
-89.5,142.5,20.876755401936922,0.14486
-89.5,143.5,20.877084461465195,0.14486
-89.5,144.5,20.877416166747043,0.14486
-89.5,145.5,20.877750416741826,0.14486
-89.5,146.5,20.878087109633757,0.14486
-89.5,147.5,20.878426142862917,0.142473
-89.5,148.5,20.878767413156503,0.142473
-89.5,149.5,20.879110816560278,0.142473
-89.5,150.5,20.879456248470238,0.142473
-89.5,151.5,20.879803603664474,0.142473
-89.5,152.5,20.880152776335233,0.142473
-89.5,153.5,20.880503660121136,0.142676
-89.5,154.5,20.88085614813958,0.142676
-89.5,155.5,20.8812101330193,0.142676
-89.5,156.5,20.88156550693308,0.142676
-89.5,157.5,20.881922161630573,0.142676
-89.5,158.5,20.88227998847131,0.140294
-89.5,159.5,20.88263887845777,0.140294
-89.5,160.5,20.882998722268578,0.140294
-89.5,161.5,20.88335941029183,0.140294
-89.5,162.5,20.88372083265846,0.140294
-89.5,163.5,20.884082879275713,0.140014
-89.5,164.5,20.88444543986068,0.140014
-89.5,165.5,20.8848084039739,0.140014
-89.5,166.5,20.88517166105298,0.140014
-89.5,167.5,20.8855351004463,0.140014
-89.5,168.5,20.885898611446702,0.139962
-89.5,169.5,20.88626208332521,0.139962
-89.5,170.5,20.886625405364768,0.139962
-89.5,171.5,20.886988466893968,0.139962
-89.5,172.5,20.887351157320747,0.139962
-89.5,173.5,20.88771336616609,0.137685
-89.5,174.5,20.88807498309767,0.137685
-89.5,175.5,20.888435897963472,0.137685
-89.5,176.5,20.888796000825327,0.137685
-89.5,177.5,20.889155181992418,0.137685
-89.5,178.5,20.88951333205468,0.137685
-89.5,179.5,20.889870341916136,0.137685
-88.5,-179.5,20.898692182512804,0.137409
-88.5,-178.5,20.89975528534093,0.137409
-88.5,-177.5,20.90081399279802,0.137409
-88.5,-176.5,20.90186798239153,0.136822
-88.5,-175.5,20.902916933066017,0.136822
-88.5,-174.5,20.903960525300946,0.136822
-88.5,-173.5,20.904998441208008,0.136822
-88.5,-172.5,20.90603036462797,0.136625
-88.5,-171.5,20.907055981226957,0.136625
-88.5,-170.5,20.908074978592218,0.136625
-88.5,-169.5,20.909087046327286,0.136625
-88.5,-168.5,20.910091876146527,0.136625
